"Riqueza","Manejo","Perturbación","Nivel_perturbación","Tipo_de_permanencia","Permanencia_promedio","Permanencia_mediana","Riesgo_absoluto","Riesgo_relativo"
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0.5,"Calabaza",0.0660647869431819,0.0212904441938252,0.101554461528665,1.53719502063944
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0.5,"Quelites",0.148074278044807,0.15411765383859,0.0323296300297707,0.218333869032864
"Maíz-Frijol-Calabaza","Desyerbe-Insecticida","Sequía",0.5,"Conjunta",0.147353298038712,0.147597062911499,0.0355983406627623,0.241584960340759
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0,"Maíz",0.632942565766031,0.632680980579127,0.0045820676519417,0.00723931032572626
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0,"Frijol",0.632942565766031,0.632680980579127,0.0045820676519417,0.00723931032572626
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0,"Quelites",0.4,0.4,2.61682076447296e-17,6.5420519111824e-17
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0,"Conjunta",0.466555018790294,0.466480280165465,0.00130916218626906,0.00280601886925043
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.1,"Maíz",0.621907365568295,0.629439207381942,0.0484587712414771,0.077919596911665
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.1,"Frijol",0.626336890550682,0.629871787945968,0.0451214112623989,0.0720401623201976
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.1,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.1,"Quelites",0.390433332821033,0.4,0.0209117749872942,0.0535604243525994
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.1,"Conjunta",0.458002567430539,0.465404208547605,0.0219320677715117,0.0478863424162746
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.14,"Maíz",0.425141967440997,0.437900659604935,0.0652699538045177,0.153525078216552
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.14,"Frijol",0.435924893303053,0.443849206349206,0.0563775511879693,0.129328588603395
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.14,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.14,"Quelites",0.353818993553198,0.361207759467853,0.0140446812925197,0.0396945374567859
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.14,"Conjunta",0.382011382143755,0.388976889138898,0.0235049935119372,0.0615295632816826
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.25,"Maíz",0.341680445807121,0.38667322083565,0.0953257014066974,0.278990801424173
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.25,"Frijol",0.382428430602361,0.421585871267426,0.0934660052763693,0.244401299163745
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.25,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.25,"Quelites",0.306989976526721,0.313132591492742,0.0132967180827268,0.0433131994508927
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.25,"Conjunta",0.321125162161078,0.333001044475261,0.0323283820830454,0.100672217229833
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.5,"Maíz",0.0510110350035327,0.0111380000944505,0.0647367342165173,1.26907313705817
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.5,"Frijol",0.0800107335672667,0.0167070001416758,0.0975367639401202,1.21904599034977
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.5,"Calabaza",NA,NA,NA,NA
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.5,"Quelites",0.263722501441707,0.267247422304806,0.0192014733730194,0.0728093858811802
"Maíz-Frijol","Desyerbe-Insecticida","Sequía",0.5,"Conjunta",0.192538179229639,0.185957468922666,0.0345335163600409,0.179359317192114
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0,"Maíz",0.632632474680976,0.632819307723415,0.00454232337600421,0.00718003510378566
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0,"Calabaza",0.132632474680976,0.132819307723415,0.0045423233760042,0.03424744495592
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0,"Quelites",0.25,0.25,1.60246890531964e-17,6.40987562127855e-17
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0,"Conjunta",0.294210824893659,0.294273102574472,0.0015141077920014,0.00514633610965425
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Maíz",0.616713332851001,0.628243724014709,0.0517294142826158,0.0838791891258068
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Calabaza",0.128506601426097,0.132552854513918,0.0330342845549062,0.257062938310636
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Quelites",0.254363080895996,0.25,0.0124235758330189,0.0488418987113096
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.1,"Conjunta",0.293566650070004,0.293656563443298,0.0136213998292901,0.0463996841127627
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.14,"Maíz",0.430375259956073,0.445079834692672,0.0593999855855882,0.138019052469817
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.14,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.14,"Calabaza",0.111489680460312,0.116264071201146,0.0370186480889827,0.332036543078627
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.14,"Quelites",0.224393208388118,0.223946084557302,0.0108622218425501,0.048407088256265
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.14,"Conjunta",0.243486364273096,0.245625942029669,0.0167934570795855,0.0689708318152464
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.25,"Maíz",0.289341211890125,0.303918449911924,0.110991134701026,0.383599467134235
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.25,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.25,"Calabaza",0.0924661069825813,0.100214014542597,0.0644623910569419,0.69714615614871
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.25,"Quelites",0.143574674295718,0.144962086174788,0.0160403734406339,0.111721468422738
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.25,"Conjunta",0.155677563433962,0.159668046146392,0.03099657353942,0.199107519771587
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.5,"Maíz",0.165270691955849,0.149985607537054,0.061574112198203,0.372565222965558
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.5,"Frijol",NA,NA,NA,NA
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.5,"Calabaza",0.0642648811549861,0.0188605160221155,0.100087615893695,1.55742318502568
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.5,"Quelites",0.148423457505052,0.15500888183204,0.0325956501088441,0.219612523901316
"Maíz-Calabaza","Desyerbe-Insecticida","Sequía",0.5,"Conjunta",0.128896016357133,0.129142799182769,0.0297132735411671,0.230521271183745
"Monocultivo Maíz","Desyerbe-Insecticida","Sequía",0,"Maíz",0.63237066945844,0.632214938314154,0.00458444918483131,0.0072496233716175
"Monocultivo Maíz","Desyerbe-Insecticida","Sequía",0,"Frijol",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe-Insecticida","Sequía",0,"Calabaza",NA,NA,NA,NA
"Monocultivo Maíz","Desyerbe-Insecticida","Sequía",0,"Quelites",0.4,0.4,2.49504070168602e-17,6.23760175421504e-17
"Monocultivo Maíz","Desyerbe-Insecticida","Sequía",0,"Conjunta",0.43872844490974,0.438702489719026,0.000764074864138552,0.0017415667322317
"Monocultivo Maíz","Desyerbe-Insecticida","Sequía",0.1,"Maíz",0.619505066753712,0.628779311080141,0.0505490538421494,0.0815958683066679
"Monocultivo Maíz","Desyerbe-Insecticida","Sequía",0.1,"Frijol",NA,NA,NA,NA
